metaphor,source_frame,target_frame
GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS TRAMPLING ON AN OBJECT,TBD,TBD
GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS TRESPASSING,TBD,TBD
GOVERNMENT'S POSITIVE TREATMENT OF RIGHTS IS DEFENDING A TERRITORY,TBD,Citizen rights
GOVERNMENT'S POSITIVE TREATMENT OF RIGHTS IS STRENGTHENING AN OBJECT,TBD,TBD
GOVERNMENT'S POSITIVE TREATMENT OF RIGHTS IS SUPPORTING A PHYSICAL STRUCTURE,TBD,TBD
GOVERNMENTAL AGREEMENT IS PHYSICAL PROXIMITY,TBD,TBD
GOVERNMENTAL ASSESSING IS MEASURING,TBD,TBD
GREATER DEGREE OF GUN CONTROL IS STRONGER PHYSICAL RESTRAINT,Physical strength,Gun control legislation
GREED IS HUNGER,Hunger,Greed
GROUP IS A BODY,Body,Group
GROUPS ARE CONTAINERS,Containing,Group
GROUPS ARE PART-WHOLE STRUCTURES,Part_whole,Group
GROUPS ARE POSSESSORS,Possession,Group
GUIDED ACTION IS GUIDED MOTION ALONG A PATH,Guided motion,Action
GUN CONTROL ADVOCACY IS PHYSICAL HARM,Physical harm,Advocacy
GUN CONTROL IS PHYSICAL RESTRAINT,Constructed Restraints,Gun control
GUN CONTROL LEGISLATION IS PHYSICAL RESTRAINT,Restraints,Gun control legislation
GUN CONTROL REGULATION IS A DISEASE,Disease,Gun control
GUN CONTROL REGULATION IS A MOTION IMPEDIMENT,Motion-affecting objects,Gun control legislation
GUN CONTROL REGULATION IS PHYSICAL HARM,Physical harm,Gun control
GUN DEBATE IS A LIVING ENTITY,Biological entity,Gun law decision-making
GUN OWNERSHIP IS INSANITY,Insanity,Gun ownership
GUN RIGHTS ARE VALUABLE POSSESSIONS,Possessable object,Gun rights
GUN VIOLENCE IS A FLUID,Fluid motion,Injurious gun use
GUN VIOLENCE IS A PHYSICAL AFFLICTION,Physical affliction,Injurious gun use
GUN VIOLENCE IS PHYSICAL HARM,Physical harm,Injurious gun use
GUNS ARE A DISEASE,Disease,Personal weapon
GUNS ARE A NATURAL DISASTER,Natural disaster,Personal weapon
GUNS ARE DRUGS,Addiction,Personal weapon
GUNS ARE LIVING ENTITIES,,
GUNS ARE MAGICAL,Magic,Personal weapon
GUNS ARE OBJECTS OF WORSHIP,Religious practice,Gun possession
GUNS ARE PESTS,Pest,Personal weapon
GUNS ARE TARGETS OF PSYCHOLOGICAL FIXATION,Psychological fixation,Personal weapon
HAPPINESS IS EFFERVESCENCE,Effervescence,Happiness
HAPPINESS IS VERTICALITY,Verticality,Happiness
HAPPINESS IS WARMTH,Warmth,Happiness
HAPPY IS LIGHT,Lightness,Happiness
HAPPY IS UP,Being at a High Location,Happiness
HARM IS PHYSICAL INJURY,Physical harm,Harm
HEALTH IS UP,Verticality,Health
HEALTH IS VERTICALITY,Verticality,Health
HELP IS PHYSICAL SUPPORT,Support,Aids to action
HELPFUL IDEAS ARE NUTRITIOUS FOODS,,
HIERARCHY IS A VERTICAL STRUCTURE,Verticality,Organization of power
HIGH STATUS IS UP,Verticality,Status
IDEA SYSTEMS ARE COMPLEX PHYSICAL SYSTEMS,Complex physical object,Group of related ideas
IDEA SYSTEMS ARE FLUID MASSES,Liquid,Group of related ideas
IDEAS ARE FOOD,Food,Idea
IDEAS ARE LIVING ENTITIES,,
IDEAS ARE LOCATIONS,,
IDEAS ARE OBJECTS,Object,Idea
IDEAS ARE PEOPLE,Person,Idea
IDEAS ARE POSSESSIONS,Possession,Idea
IDEOLOGIES ARE COMPLEX PHYSICAL OBJECTS,,
IDEOLOGIES ARE ORGANISMS,Biological entity,Ideology
ILL-BEING IS DOWN,,
ILLEGAL ACTIVITY IS BREAKING A PHYSICAL OBJECT,?,?
ILLEGITIMATE POWER IS A STOLEN OBJECT,,
IMMORAL IS CROOKED,Straightness,Morality
IMMORALITY IS DEGENERATION,Degeneration,Immorality
IMMORALITY IS DISEASE,Disease,Morality
IMMORALITY IS IMPURITY,Impurity,Immorality
IMPEDIMENTS TO ACTION ARE ANTAGONISTIC FORCES,Antagonistic force,Difficulties in action
IMPEDIMENTS TO ACTION ARE PHYSICAL IMPEDIMENTS TO MOTION,Motion impediments,Difficulties in action
IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS ANTAGONISTIC FORCE,Antagonistic force,Improving economic status
IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS CONFUSING PATHS TO MOVING OUT OF A LOCATION,Maze,Improving economic status
IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS CONSTRUCTED CONFINEMENT,Constructed Confinement,Improving economic status
IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS CONSTRUCTED RESTRAINTS,Constructed Restraints,Improving economic status
IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS ENVIRONMENTAL CONFINEMENT,Confinement,Improving economic status
IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS ENVIRONMENTAL RESTRAINTS,Environmental restraints,Improving economic status
IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS EXPERIENCING A PHYSICAL AFFLICTION,Burden,Improving economic status
IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS PHYSICAL BURDEN,Burden,Improving economic status
IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS PHYSICAL IMPEDIMENTS TO MOTION,Motion impediments,Improving economic status
IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS WATER CONFINEMENT,Water Confinement,Improving economic status
IMPEDIMENTS TO UTILIZING EDUCATIONAL OPPORTUNITIES IS ANTAGONISTIC FORCE,Antagonistic force,Educational opportunities
IMPEDIMENTS TO UTILIZING EDUCATIONAL OPPORTUNITIES IS OBSTACLES TO ACCESSING A LOCATION,Barrier to accessing a location,Educational opportunities
IMPORTANCE IS SIZE,Size,Importance
IMPORTANCE IS WEIGHT,Object,Importance
IMPORTANT IS CENTRAL,Center periphery,Importance
IMPROVEMENT IN MOOD IS UPWARD MOTION,Upward motion,Emotion
IMPROVING A STATE IS MOTION TO A PREFERRED LOCATION,Motion to a location,Improving a state
IMPROVING ECONOMIC STATUS IS MOVING OUT OF A LOCATION,Motion away from a location,Improving economic status
IMPROVING ECONOMIC STATUS IS MOVING OUT OF AN UNDESIRABLE LOCATION,Motion away from an undesirable location,Improving economic status
IMPROVING ECONOMIC STATUS IS UPWARD MOTION,Upward motion,Improving economic status
IMPROVING EDUCATION IS FINANCIAL INVESTMENT,Investment,Funding education
INABILITY TO ADDRESS SOCIAL PROBLEMS IS INABILITY TO TREAT A DISEASE,Disease treatment,Addressing social problems
INABILITY TO EVALUATE GOVERNMENT IS INABILITY TO SEE,TBD,TBD
INABILITY TO UNDERSTAND IS INABILITY TO GRASP,,
INABILITY TO UTILIZE EDUCATIONAL OPPORTUNITY IS INABILITY TO ACCESS A LOCATION,Inability to access a location,Educational opportunities
INCITING GOVERNING ACTION IS FORCED MOVEMENT,Forced motion,Governing action
INCOMPATIBLE ACTION.GOVERNING OBJECTIVES ARE INCOMPATIBLE MOTION.GOALS,Motion to a location,Governing action
INCREASE EASE OF ACTION IS INCREASE EASE OF MOTION,Increase ease of motion,Increase ease of action
INCREASE IN CRIME IS SPREAD OF DISEASE,Disease,Crime
INCREASE IN QUANTITY IS UPWARD MOTION,Upward motion,Quantity
INCREASE IN TAXATION IS OCCURENCE OF SUDDEN DESTRUCTIVE NATURAL FORCE,Destructive natural process,Taxation
INCREASED WELL-BEING IS INCREASED WEALTH,,
INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING LIGHT,TBD,TBD
INCREASING EVALUABILITY OF GOVERNMENT IS INCREASING TRANSPARENCY,TBD,TBD
INCREASING GOVERNMENT DEBT IS RISING WATER LEVEL,TBD,TBD
INCREASING TAXATION IS INCREASING BURDEN,TBD,TBD
INCREASING TAXATION IS INCREASING PUNISHMENT,TBD,TBD
INDICATIONS OF SOCIAL PROBLEMS IS PHYSICAL AFFLICTION,Physical affliction,Social problems
INDULGING ONE'S GREED IS SATIATING ONE'S HUNGER,,
INEFFECTIVE GOVERNMENT IS A POORLY-MANAGED BUSINESS,Business,Government
INEFFICIENT GOVERNMENT IS A BLOATED BODY,Excess body weight,Government
INEQUALITY IS BEING ON DIFFERENT VERTICAL LEVELS,TBD,TBD
INFLUENTIAL NATIONS ARE LEADERS,TBD,TBD
INFORMATION IS CONTENTS,Contents,Information
INHIBITING ENACTMENT OF LEGISLATION IS IMPEDING MOTION,Impediment to motion,Legislation enactment
INHIBITING PLANNED ACTION IS IMPEDING MOTION,,
INSTITUTION IS A BUSINESS,Business,Institution
INSTITUTION IS A COMPLEX PHYSICAL OBJECT,Complex physical object,Institution
INSTITUTION IS A FACTORY,Factory,Institution
INSTITUTION IS A MACHINE,Machine,Institution
INSTITUTION IS A VEHICLE,Vehicle,Institution
INSTITUTION IS AN ORGANISM,Biological entity,Institution
INSTITUTIONS ARE BUILDINGS,Building,Institution
INSTITUTIONS ARE PEOPLE,Person,Institution
INSTRUCTION IS A GUIDED JOURNEY,,
INSURMOUNTABLE DIFFERENCES IN WEALTH IS BARRIER TO ACCESSING A LOCATION,Barrier to accessing a location,Financial resource
INSURMOUNTABLE DIFFERENCES IN WEALTH IS INSURMOUNTABLE DIFFERENCES IN DISTANCE,Insurmountable differences in distance,Financial resource
INTENSITY OF ACTIVITY IS HEAT,Heat,Activity
INTEREST IN IDEAS IS APETITE FOR FOOD,,
INTEREST IN IDEAS IS APPETITE FOR FOOD,Food,Idea
INTERESTING IDEAS ARE APPETIZING FOODS,Food,Idea
INTERNATIONAL DISAGREEMENTS ARE QUARRELS,TBD,TBD
INTERNATIONAL RELATIONS ARE INTERPERSONAL RELATIONSHIPS,Relationship,International Relations
INTERNATIONAL RELATIONS.STATUS IS INTERPERSONAL RELATIONSHIPS.STATUS,Relationship,International Relations
INTERRELATEDNESS IS PHYSICAL INTERCONNECTEDNESS,Physical connection,Spatial relation
JEALOUSY IS FIRE,Fire,Jealousy
JUDGES ARE SPORTS REFEREES,TBD,TBD
KEEPING ASSETS FROM BEING TAXED IS PLACING OBJECTS IN PROTECTED LOCATION,Placing in a protected location,Taxation
KNOWING IS PERCEIVING,Perception,Knowing
KNOWING IS SEEING,Seeing,Knowing
KNOWING IS TOUCHING,Touching,Knowing
KNOWLEDGE IS A RESOURCE,Resource,Knowledge
LABOR IS A RESOURCE,Resource,Labor
LAW ENFORCEMENT IS SUPPORTING A STRUCTURE,TBD,TBD
LAWS ARE LIVING ENTITIES,Animate entity,Law
LAWS ARE OBJECTS,Object,Law
LAWS ARE PHYSICAL RESTRAINTS,Restraints,Law
LAWS ARE PHYSICAL STRUCTURES,Physical structure,Law
LAWS ARE PLANTS,Plants,Law
LEADER OF A NATION IS HEAD OF BODY,Physical entity,Leadership
LEADER OF GROUP IS HEAD OF BODY,TBD,TBD
LEADING A GROUP IS DRIVING A VEHICLE,Vehicular motion,Leadership
LEADING A NATION IS DRIVING A VEHICLE,Vehicular motion,State leadership
LEADING A NATION IS STEERING A BOAT,Steering a boat,State leadership
LEADING IS A FORCE MOVING AN OBJECT FORWARD,Forced motion,Leadership
LEARNING IS ACQUIRING,Gain possession,Learning
LEARNING IS GETTING NUTRITIOUS FOOD,Nutritious food,Learning
LEGISLATIVE ACTIVITY IS MAKING OBJECTS,Create object,Legislative action
LEGISLATIVE ACTIVITY IS MOTION ALONG A PATH,Motion along a path,Legislative action
LEGISLATURE IS A MACHINE,Machine,Legislative branch
LEGITIMATE POWER IS AN ENTRUSTED OBJECT,Object,Power
LESS IS DOWN,Verticality,Quantity
LESS IS SMALL,Size,Quantity
LESSER DEGREE OF GUN CONTROL LEGISLATION IS WEAKER PHYSICAL RESTRAINT,Physical weakness,Gun control legislation
LIFE IS A COMPLEX STRUCTURE,TBD,TBD
LIFE IS A JOURNEY,Journey,Life
LIFE IS A PRECIOUS POSSESSION,Possession,Life
LIFE IS A SEQUENCE OF MOTIONS,Motion along a path,Life
LIFE IS VERTICALITY,Verticality,Life cycle
LIMITING RANGE OF SUBJECT MATTER IS NARROWING WIDTH OF BOUNDED REGION,Narrowing width of bounded region,Curriculum
LOGICAL STRUCTURES ARE ERECT COMPLEX STRUCTURES,Complex physical object,Logical structure
LOSING AN ELECTION IS LOSING A BOXING MATCH,Physical competition,Election
LOSING AN ELECTION IS LOSING A RACE,Race,Election
LOSING AN ELECTION IS LOSING A WAR,War,Election
LOSING POWER IS LOSING A POSSESSION,,
LOW STATUS IS DOWN,Verticality,Status
LUST IS FIRE,Fire,Lust
LUST IS HUNGER,Hunger,Lust
MACHINES ARE PEOPLE,Person,Machine
MAINTAINING HIGHER SOCIAL STATUS IS MAINTAINING HOLD ON PHYSICAL POSITION,Grasp,Social status
MAKING A DECISION IS WEIGHING,Weighing,Decision making
MAKING EDUCATIONAL OPPORTUNITY THE SAME FOR EVERYONE IS EQUALIZING QUANTITIES,Equalizing quantities,Educational opportunities
MAKING RELATED IS CAUSING CONTACT,Cause contact,Relationship
MANNER OF ACTION IS MANNER OF MOVEMENT,Self propelled motion,Action
MARKET IS A FAMILY,Family,Market
MARKET IS A NATURAL PROCESS,Natural process,Market
MARKET IS AN ACTOR,Actor,Market
MARKET IS AN ENTITY,Entity,Market
MARRIAGE IS CLOTH,Textile,Marriage
MEANS ARE PATHS,Self propelled motion to a destination,Purposeful action
MEANS OF IMPROVING ECONOMIC STATUS ARE PATHS TO MOVING OUT OF A LOCATION,Paths out of a location,Improving economic status
MEMORIZATION IS WRITING,Writing,Memorization
MEMORY IS A STOREHOUSE,,
MILITARY POWER IS BODILY STRENGTH,Military leadership,Physical strength
MIND IS A BODY,Bodily functioning,Cognizing
MIND IS A BUILDING,Building,Mind
MIND IS A COMPUTER,Computer,Mind
MIND IS A CONTAINER,Containment,Mind
MIND IS A MACHINE,Machine,Mind
MIND IS A PHYSICAL STRUCTURE,Physical structure,Mind
MONEY IS A LIQUID,Liquid,Money
MONEY IS A RESOURCE,TBD,TBD
MONEY IS A SUBSTANCE,Substance,Money
MONEY TRANSFER IS FLUID MOTION,Fluid motion,Money
MORAL ACTION IS A FINANCIAL TRANSACTION,Financial transaction,Moral_action
MORAL ACTION IS NURTURANCE,Nurturance,Morality
MORAL AGENTS ARE NURTURING PARENTS,Nurturant parent family,Moral_action
MORAL AUTHORITY IS PARENTAL AUTHORITY,Parent,Moral authority
MORAL CHARACTER IS THE SUBSTANCE AN OBJECT IS MADE OF,Object,Moral character
MORAL CORRUPTION IS A DESTRUCTIVE FORCE,Destructive force,Moral corruption
MORAL GROWTH IS PHYSICAL GROWTH,Increase size,Morality
MORAL IS STRAIGHT,Straightness,Morality
MORAL ORDER IS THE NATURAL ORDER,Natural order,Moral order
MORALITY IS A STRAIGHT PATH,Straightness,Morality
MORALITY IS PURITY,Purity,Morality
MORALITY IS STRAIGHTNESS,Straightness,Morality
MORALITY IS STRENGTH,Physical strength,Morality
MORALITY IS UPRIGHTNESS,Upright posture,Morality
MORALITY IS WHOLENESS,Part_whole,Morality
MORE IS BIG,Size,Quantity
MORE IS UP,Verticality,Quantity
MULTIPLE EXTREME MINOR FACTIONS ARE BALKAN STATES,minor factions,balkan states
MULTIPLICITY IS MASS,Mass,Multiplex
NATION IS A BOAT,Boat,Nation
NATION IS A BODY,Body,Nation
NATION IS A BUILDING,Building,Nation
NATION IS A BUSINESS,Business,Nation
NATION IS A COMPLEX STRUCTURE,Complex physical object,Nation
NATION IS A CONTAINER,Resource container,Nation
NATION IS A FAMILY,Family,Nation
NATION IS A MACHINE,Machine,Nation
NATION IS A PERSON,Person,Nation
NATION IS A SYSTEM,System,Nation
NATION IS A VEHICLE,Vehicle,Nation
NATION IS AN OBJECT,Object,Nation
NATIONAL INFRASTRUCTURE DETERIORATION IS BUILDING EROSION,Erosion,Nation
NATIONAL INFRASTRUCTURE IS A BUILDING,Nation,Building
NATIONAL INFRASTRUCTURE MAINTENANCE IS BUILDING MAINTENANCE,Nation,Building
NATIONAL POLITICAL FUNCTIONALITY IS PHYSICAL INTEGRITY,Complex physical object,Nation
NATIONAL POLITICS IS A BATTLEFIELD,Politics,Battlefield
NATIONAL POLITICS IS A SPORTS FIELD,Competitive sport,Politics
NATIONAL POLITICS IS A STAGE,Performance,Politics
NATIONS NOT ABIDING BY INTERNATIONAL LAW ARE OUTLAWS,Crime,Nation
NATIONS WHO ABUSE POWER ARE BULLIES,Bully,Nation
NATURE IS A RESOURCE,Resource,Natural process
NATURE IS A STRICT MOTHER,Strict father family,Nature
NATURE IS AN AGENT,Agentive causation,Natural process
NEARBY COUNTRIES ARE NEIGHBORS,Country,Neighbor
NEGATIVE EMOTIONAL STATES ARE PHYSICAL PAINS,Experience pain,Emotion
NEGATIVE EVALUATION OF GOVERNMENT ACTIVITY IS DISGUST,TBD,TBD
NEGATIVELY AFFECTING A LAW IS CAUSING HARM TO A PHYSICAL STRUCTURE,Physical harm,Law
NEGATIVELY EVALUATED CONDITIONS ARE HARMFUL AGENTS,Harm,Negatively evaluated condition
NEGATIVELY EVALUATED GOVERNMENT ACTIVITY IS DIRTY OBJECT,TBD,TBD
NEGATIVELY EVALUATED GOVERNMENT ACTIVITY IS DISGUSTING OBJECT,TBD,TBD
NONFUNCTIONAL BUREAUCRACY IS A BROKEN MACHINE,Machine,Bureaucracy
NONFUNCTIONAL LEGISLATURE IS A BROKEN MACHINE,Machine,Legislative branch
NONVISUAL PERCEPTUAL SPACE IS PHYSICAL SPACE,Space,Perception
NOT EXPERIENCING A STATE IS NOT POSSESSING AN OBJECT,,
NOT PAYING TAXES IS AVOIDING OBSTACLES,Avoiding obstacles,Taxation
NOW IS HERE,Being at a location,Time
ONGOING CAUSATION IS NOURISHING,Food,Causation
OPPORTUNITIES ARE LOCATIONS,Location,Opportunities
OPPORTUNITIES ARE OBJECTS,Object,Opportunities
OPPORTUNITIES ARE PATHS,Physical path,Opportunities
OPPORTUNITIES ARE PORTALS,Portals,Opportunities
OPTIMISM IS LIGHTNESS,Lightness,Optimism
ORGANIZATION IS A MACHINE,Machine,Organization
ORGANIZATION IS PHYSICAL STRUCTURE,Physical structure,Organization
OVER-CONSUMPTION OF RESOURCES IS OVEREATING,Overeating,Resource consumption
PASSION IS FIRE,Fire,Passion
PASSION IS HEAT,Heat,Passion
PAST IS BEHIND,Back,Time
PEACEFUL IS MOTIONLESS,Motionless,Peacefulness
PEOPLE ARE ANIMALS,Animal,Person
PEOPLE ARE PLANTS,Plants,Person
PERSISTING IS REMAINING ERECT,Persistence,Erectness
PERSONAL PREFERENCE IS TASTE,Taste,Evaluation
PESSIMISM IS DARKNESS,Darkness,Pessimism
PHASE OF AN ELECTION IS LEG IN A RACE,Race,Election
PHYSICAL STRENGTH IS VERTICALITY,Verticality,Physical strength
PLEASURE IS A GOOD TASTE,Taste,Pleasure
PLEASURE IS A MOVING FLUID,Fluid motion,Pleasure
PLEASURE IS A PURSUED THING,Pursue,Pleasure
PLEASURE IS FIRE,Fire,Pleasure
PLEASURE IS FULLNESS,Fullness,Pleasure
PLEASURE IS GENUINE,Genuine,Pleasure
PLEASURE IS HIDDEN,Visual obstruction,Pleasure
PLEASURE IS LIGHT,Lightness,Pleasure
PLEASURE IS POWER,Force,Pleasure
PLEASURE IS PURITY,Purity,Pleasure
PLEASURE IS SECRET,Secret,Pleasure
PLEASURE IS UNCONTAINABLE,Containing,Pleasure
PLEASURE IS WARMTH,Warmth,Pleasure
PLURALITY OF ENTITIES WITH COMMON PROPERTIES IS A GROUP,Group,Plurality
POLICE ARE ARMS,Body,Police
POLITICAL AGREEMENT IS BEING IN THE SAME ARMY,TBC,TBC
POLITICAL AGREEMENT IS BEING ON THE SAME SIDE OF A BOUNDARY,TBC,TBC
POLITICAL AGREEMENT IS EXERTING FORCE IN THE SAME DIRECTION,TBD,TBD
POLITICAL IDEOLOGIES ARE LIVING ENTITIES,Biological entity,Ideology
POLITICAL OPPOSITION IS BEING IN OPPOSING ARMIES,TBC,TBC
POLITICAL OPPOSITION IS BEING ON OPPOSITE SIDES OF A BOUNDARY,TBC,TBC
POLITICAL OPPOSITION IS EXERTING OPPOSING FORCES,TBD,TBD
POLITICAL PARTIES ARE CONTAINERS,Containment,Political party
POLITICAL PARTIES ARE PEOPLE,Person,Political party
POLITICAL PARTIES ARE SPORTS TEAMS,TBD,TBD
POLITICAL REGION IS A VEHICLE,Vehicle,Political region
POLITICAL UNREST IS A WILDFIRE,TBC,TBC
POLITICIANS ARE STAGE ACTORS,TBC,TBC
POSITIVELY EVALUATED GOVERNMENT ACTIVITY IS CLEAN OBJECT,TBD,TBD
POSITIVITY IS VERTICALITY,Verticality,Positivity scale
POVERTY IS A CRIME,Crime,Poverty
POVERTY IS A DISEASE,Disease,Poverty
POVERTY IS A FIERCE CREATURE,Fierce animal,Poverty
POVERTY IS A MOTION IMPEDIMENT,Motion impediments,Poverty
POVERTY IS A PLANT,Plants,Poverty
POVERTY IS A WEED,Weed,Poverty
POVERTY IS PHYSICAL HARM,Physical harm,Poverty
POWER IS A POSSESSED OBJECT,Possession,Power
POWER IS CENTRALITY,Center periphery,Power
PREPARING IDEAS TO BE UNDERSTOOD IS FOOD PREPARATION,Food preparation,Cognizing
PRESIDENT IS QUARTERBACK,TBD,TBD
PREVENTED CHANGE OF STATE IS PREVENTED CHANGE OF LOCATION,Source path goal,Change of state
PREVENTING ACHIEVEMENT OF GUN RIGHTS IS RESTRAINING MOTION TO A DESTINATION,Motion to a destination,Gun rights
PREVENTING ECONOMIC HARDSHIP IS SHIELDING FROM PHYSICAL HARM,Protect against contact,Economic difficulty
PREVENTING ENACTMENT OF LEGISLATION IS BLOCKING MOTION,Motion impediments,Legislation enactment
PREVENTING UTILIZATION OF EDUCATIONAL RESOURCES IS CLOSING A PORTAL,Closing a portal,Educational opportunities
PREVENTION OF BECOMING IMPOVERISHED IS IMPEDING DOWNWARD MOTION,Impeding downward motion,Impoverished
PROGRESS IS FORWARD MOTION ALONG A PATH,Motion along a path,Action
PROGRESSING THROUGH LIFE IS MOVING ALONG A PATH,Motion along a path,Life
PROGRESSING THROUGH LIFE IS MOVING THROUGH A TERRAIN,Forward motion,Life
PROVIDE EDUCATIONAL OPPORTUNITY IS PROVIDING A RESOURCE,Resource,Educational opportunities
PROVIDING A BENEFIT IS PROVIDING A RESOURCE,Resource,Benefit
PROVING IS SHOWING,Cause to see,Reasoning
PSYCHOLOGICAL CONFLICT IS PHYSICAL CONFLICT,Physical attributes,Psychological attributes
PSYCHOLOGICAL HARM IS PHYSICAL INJURY,Physical harm,Psychological harm
PUBLIC EVALUABILITY OF GOVERNMENT IS TRANSPARENCY,TBD,TBD
PURIFYING IS CLEANSING,Cleanliness,Purity
PURITY IS CLEANLINESS,Cleanliness,Purity
PURPOSE IN LIFE IS DESTINATION IN A JOURNEY,,
PURPOSEFUL ACTION IS SELF-PROPELLED MOTION TO A DESTINATION,Self propelled motion to a destination,Purposeful action
PURPOSEFUL THINKING IS GOAL-DIRECTED MOTION,Self propelled motion to a destination,Thinking about
QUALITIES ARE SUBSTANCES,Substance,Quality
QUANTITY IS SIZE,Size,Quantity
QUANTITY IS VERTICALITY,Verticality,Quantity
RECEIVING AN EDUCATIONAL OPPORTUNITY IS RECEIVING A RESOURCE,Resource transfer,Educational opportunities
REDUCTION IN FINANCIAL RESOURCES IS PHYSICAL HARM,Harm to living entity,Financial resource
REENACTING A GUN LAW IS BRINGING AN ENTITY BACK TO LIFE,Restore to life,Gun control legislation
REFINING A LAW IS TRIMMING A PLANT,Tending to plants,Law
REGULATION IS A DISEASE,Disease,Regulation
REGULATIONS ARE POSSIBLE PATHS OF MOTION,TBD,TBD
RELATEDNESS IS PROXIMITY,Proximity,Abstract relatedness
RELATIONSHIP IS A BOUNDED REGION IN SPACE,Bounded region,Relationship
RELATIONSHIPS ARE ATTACHMENTS,Attach,Relationship
RELATIONSHIPS ARE COMPLEX STRUCTURES,Complex physical object,Relationship
RELATIONSHIPS ARE CONTAINERS,Containing,Relationship
RELATIONSHIPS ARE OBJECTS,Object,Relationship
RELATIONSHIPS ARE PHYSICAL CONNECTIONS,Physical connection,Relationship
RELATIONSHIPS ARE PHYSICAL STRUCTURES,Physical structure,Relationship
REMEMBERING IS RETRIEVAL,,
RESOURCE IS A LIQUID,Liquid,Resource
RESPONSIBILITY IS A BURDEN,Burden,Responsibility
RESULT OF OVER-CONSUMPTION OF RESOURCES IS RESULT OF OVEREATING,,
REVOLUTION IS TOPPLING A PHYSICAL OBJECT,Toppling physical object,Revolution
RIGHTS ARE PHYSICAL ENTITIES,Physical entity,Rights
RIGHTS ARE POSSESSIONS,Possessable object,Rights
RIGHTS ARE SHIELDS FROM HARM,Protecting,Rights
RIGHTS ARE TERRITORIES,Territory,Rights
ROMANTIC RELATIONSHIP ENCOUNTERING DIFFICULTIES IS A BOAT ON THE ROCKS,Boat on the rocks,Romantic relationship
ROMANTIC RELATIONSHIP ENCOUNTERING DIFFICULTIES IS A VEHICLE ENCOUNTERING OBSTACLES,Journey,Romantic relationship
ROMANTIC RELATIONSHIP IS A JOURNEY,Journey,Romantic relationship
ROMANTIC RELATIONSHIPS ARE VEHICLES,Vehicle,Romantic relationship
SAD IS DARK,Darkness,Sadness
SAD IS DOWN,Verticality,Sadness
SADNESS IS A BURDEN,Sadness,Burden
SCALAR CHANGE IS MOTION ALONG A PATH,,
SCALES ARE PATHS,Source path goal,Scale
SECESSION IS SPLITTING OFF FROM WHOLE,TBD,TBD
SEEING IS TOUCHING,Touching,Seeing
SEEKING KNOWLEDGE IS SEARCHING,Searching,Knowing
SELECTION IS ADOPTION,Adoption,Selection
SELF-INITIATED STATE CHANGE IS SELF-PROPELLED MOTION,Self propelled motion to a destination,Self-initiated state change
SENSING IS SMELLING,Smell,Perception
SEQUENCES OF EVENTS ARE FLUIDS,Fluid motion,Event
SICKNESS IS DOWN,Verticality,Health
SIMILARITY IS ALIGNMENT,Alignment,Similarity
SIMILARITY IS PROXIMITY,Proximal distal,Similarity
SIMPLE IDEAS ARE WORDS,Word,Idea
SOCIAL FUNCTIONING IS PHYSICAL HEALTH,Person,Society
SOCIAL GROUP IS A BOUNDED REGION,Bounded region,Social group
SOCIAL GROUP IS A FABRIC,Textile,Social group
SOCIAL GROUP IS A FAMILY,Family,Social group
SOCIAL GROUPS ARE BUILDINGS,Building,Social group
SOCIAL GROUPS ARE COMPLEX STRUCTURES,Complex physical object,Social group
SOCIAL GROUPS ARE CONTAINERS,Containment,Social group
SOCIAL ORGANIZATIONS ARE PLANTS,Plants,Organization
SOCIAL PROBLEMS ARE ANIMATE ENTITIES,Animate entity,Social problems
SOCIAL PROBLEMS ARE DISEASES,Disease,Social problems
SOCIAL PROBLEMS ARE PHYSICAL AFFLICTIONS,Physical affliction,Social problems
SOCIAL RELATIONS ARE PHYSICAL CONNECTIONS,Physical connection,Social group
SOCIETY IS A COMPLEX STRUCTURE,Complex physical object,Society
SOCIETY IS A PERSON,Person,Society
SOLVING A PROBLEM IS FIXING A BROKEN OBJECT,Fixing,Solving a problem
SPEECH ACTS ARE FORCES,Forced motion,Speech act
SPEED OF ACTION IS SPEED OF MOVEMENT,,
STARTING AN ACTION IS STARTING A FIRE,Fire,Process start
STATE OF NATION IS LOCATION ALONG PATH,Bounded region,Nation
STATES ARE LOCATIONS,Trajector landmark,State
STATES ARE PHYSICAL OBJECTS,Physical entity,State
STATUS IS VERTICALITY,Verticality,Status
STRUCTURE OF AN IDEA IS STRUCTURE OF AN OBJECT,,
SUBJUGATION IS DOWN,Verticality,Control
SUBORDINATE NATIONS ARE HUMAN DEPENDENTS,Human dependents,Nation
SUBSTANTIAL IDEAS ARE MEAT,,
